gene_id	product	subfamily	contrast	log2FC	padj	direction
LOC110894233	aquaporin TIP2-1	TIP	Drought_7d	-4.245	2.03e-05	down
LOC110894233	aquaporin TIP2-1	TIP	Drought_14d	-7.183	4.06e-13	down
LOC110894233	aquaporin TIP2-1	TIP	PEG_72h	-3.699	2.79e-08	down
LOC110894830	aquaporin PIP2-1	PIP	Salt_NaCl	2.070	3.75e-08	up
LOC110894830	aquaporin PIP2-1	PIP	Sclerotinia	-1.046	0.0214	down
LOC110896719	probable aquaporin TIP1-2	TIP	Drought_14d	2.482	0.016	up
LOC110896719	probable aquaporin TIP1-2	TIP	Sclerotinia	4.297	0.0115	up
LOC110895309	probable aquaporin PIP2-8	PIP	Salt_NaCl	1.034	0.0164	up
LOC110895309	probable aquaporin PIP2-8	PIP	Drought_7d	-2.142	0.0017	down
LOC110895309	probable aquaporin PIP2-8	PIP	Drought_14d	-2.290	0.000443	down
LOC110895309	probable aquaporin PIP2-8	PIP	PEG_72h	-2.397	1.3e-06	down
LOC110895309	probable aquaporin PIP2-8	PIP	Orobanche_B	-1.360	0.00112	down
LOC110897890	aquaporin PIP1-3	PIP	Cold	2.358	1.55e-28	up
LOC110897890	aquaporin PIP1-3	PIP	Heat	1.484	0.00197	up
LOC110897890	aquaporin PIP1-3	PIP	Drought_14d	-1.096	3.48e-07	down
LOC110897890	aquaporin PIP1-3	PIP	Drought_21d	-1.328	5.99e-09	down
LOC110897890	aquaporin PIP1-3	PIP	PEG_72h	-1.324	1.56e-05	down
LOC110898014	aquaporin TIP1-1	TIP	Cold	1.789	1.56e-06	up
LOC110898014	aquaporin TIP1-1	TIP	Heat	-1.801	0.018	down
LOC110898014	aquaporin TIP1-1	TIP	Drought_7d	-2.778	9.38e-06	down
LOC110898014	aquaporin TIP1-1	TIP	Drought_14d	-3.370	2.72e-08	down
LOC110898014	aquaporin TIP1-1	TIP	PEG_72h	-2.161	0.00133	down
LOC110898128	aquaporin SIP1-2	SIP	Cold	4.310	0.00473	up
LOC110898128	aquaporin SIP1-2	SIP	Drought_7d	-3.583	0.000194	down
LOC110898128	aquaporin SIP1-2	SIP	Drought_14d	-5.095	4.52e-07	down
LOC110898128	aquaporin SIP1-2	SIP	Drought_21d	-2.666	0.00717	down
LOC110898128	aquaporin SIP1-2	SIP	PEG_72h	-1.232	0.00113	down
LOC110898466	aquaporin TIP4-1	TIP	Cold	3.322	2.58e-05	up
LOC110898466	aquaporin TIP4-1	TIP	Drought_7d	-4.461	2.08e-06	down
