gene_id	product	subfamily	Cold_LFC	Cold_padj	Heat_LFC	Heat_padj	Drought_869_LFC	Drought_869_padj	Salt_NaCl_LFC	Salt_NaCl_padj	Rehydration_LFC	Rehydration_padj	Drought_7d_LFC	Drought_7d_padj	Drought_14d_LFC	Drought_14d_padj	Drought_21d_LFC	Drought_21d_padj	PEG_72h_LFC	PEG_72h_padj	Flooding_LFC	Flooding_padj	Sclerotinia_LFC	Sclerotinia_padj	Orobanche_A_LFC	Orobanche_A_padj	Orobanche_B_LFC	Orobanche_B_padj	Orobanche_C_LFC	Orobanche_C_padj	Orobanche_D_LFC	Orobanche_D_padj	Orobanche_E_LFC	Orobanche_E_padj
LOC110881936	aquaporin-5	TIP	NA	NA	-4.42659	NA	NA	NA	NA	NA	NA	NA	-2.27543	0.426967	-2.7921	0.279497	-0.333928	NA	-2.68718	NA	0.741523	0.208733	-0.352362	0.901532	-3.01719	NA	-3.09811	NA	-3.6576	NA	-2.71098	NA	-1.47782	NA
LOC110885224	aquaporin	TIP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79274	0.014495	NA	NA	NA	NA	-0.965311	NA	-0.792365	NA	-0.0797518	NA	0.417652	NA	-0.890191	NA
LOC110886572	aquaporin TIP2-1	TIP	1.28037	0.00193874	1.43713	0.0636005	-0.214289	0.983826	-3.35322	3.22689e-07	1.46184	0.541325	-4.19882	6.64766e-05	-6.58339	2.91808e-10	-0.0217073	0.991951	-3.5312	2.0304e-08	-0.314663	0.0233194	1.4717	0.00199236	0.248671	0.741326	-0.987292	0.0117349	-0.480456	0.252936	-0.882528	0.0212051	-1.64559	1.98134e-06
LOC110890809	aquaporin NIP1-1	NIP	-1.7515	6.73458e-07	-2.18603	4.4228e-06	0.0796657	0.984441	-0.743873	0.558683	0.215356	0.930911	-1.45744	9.35738e-05	-1.13076	0.00122382	-0.165694	0.762496	-0.927272	0.00107078	0.0202569	0.966275	0.583589	0.189569	0.334058	0.890726	1.50938	0.173238	1.7664	0.0907059	2.22837	0.0266495	2.00713	0.0448427
LOC110890906	aquaporin PIP2-7	PIP	-1.13788	0.0518436	-0.469648	0.37963	0.0357587	0.992809	-0.756353	0.214787	0.287341	0.919771	-1.1532	0.105631	-1.09427	0.101567	-1.3855	0.0644985	0.0480805	0.958018	0.0371235	0.910921	3.30468	1.43525e-13	-1.55045	0.225843	-0.53638	0.680479	0.145447	0.919323	1.72099	0.0786755	-1.06518	0.318357
LOC110891299	aquaporin TIP1-1	TIP	-3.31399	0.00592213	0.10972	0.930171	-0.29791	0.983826	NA	NA	1.26758	0.565003	-2.60827	0.0437617	2.09115	0.0501593	1.1729	0.402006	-0.723095	0.354861	0.173259	0.638102	-1.5958	2.11949e-12	-0.411369	0.516629	0.267739	0.604844	-0.106081	0.851141	-0.589696	0.157918	-0.807027	0.0388537
LOC110894233	aquaporin TIP2-1	TIP	0.155171	0.902103	-0.023226	0.979555	-0.480182	0.939932	-1.44436	0.0179439	1.87779	0.282353	-4.24495	2.0302e-05	-7.18323	4.05503e-13	-1.12285	0.395799	-3.69937	2.78723e-08	-0.335378	0.0647469	0.219093	0.445582	-0.0273785	0.975703	0.0493559	0.920233	-0.288018	0.401265	-0.825635	0.00464167	-0.704168	0.0146839
LOC110892775	aquaporin PIP2-2-like	PIP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.210257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC110894830	aquaporin PIP2-1	PIP	0.822442	0.290074	-1.6993	0.108575	1.7646	0.43926	2.06956	3.75421e-08	-0.642127	0.660925	0.574181	0.584936	-0.0749498	0.945394	0.99084	0.357121	0.377391	0.706751	0.171045	0.740104	-1.04624	0.0213993	0.342633	0.843289	-1.04651	0.246994	-1.00456	0.248058	-0.305924	0.77935	-0.233766	0.838044
LOC110896719	probable aquaporin TIP1-2	TIP	NA	NA	NA	NA	-2.20747	NA	NA	NA	4.83499	NA	-0.191205	0.907451	2.48159	0.0159648	-1.14128	0.466826	-1.0583	0.162252	0.15794	0.777506	4.2972	0.0115372	-0.306305	NA	0.364341	NA	-0.0598924	NA	1.27357	0.421947	-0.0290006	NA
