sample_id	project	condition	tissue	genotype	age	control
SRR7883027	PRJNA492303	control	root	HA351	d24	yes
SRR7883026	PRJNA492303	control	root	HA351	d24	yes
SRR7883030	PRJNA492303	control	root	HA351	d24	yes
SRR7883031	PRJNA492303	control	root	HA351	d24	yes
SRR7883028	PRJNA492303	control	root	HA351	d30	yes
SRR7883029	PRJNA492303	control	root	HA351	d30	yes
SRR7883034	PRJNA492303	control	root	HA351	d30	yes
SRR7883035	PRJNA492303	control	root	HA351	d30	yes
SRR7883008	PRJNA492303	flooding	leaf	HA351	d16	no
SRR7883009	PRJNA492303	flooding	leaf	HA351	d16	no
SRR7883002	PRJNA492303	flooding	leaf	HA351	d16	no
SRR7883003	PRJNA492303	flooding	leaf	HA351	d16	no
SRR7883004	PRJNA492303	flooding	leaf	HA351	d24	no
SRR7883005	PRJNA492303	flooding	leaf	HA351	d24	no
SRR7883010	PRJNA492303	flooding	leaf	HA351	d24	no
SRR7883011	PRJNA492303	flooding	leaf	HA351	d24	no
SRR7883019	PRJNA492303	flooding	leaf	HA351	d30	no
SRR7883018	PRJNA492303	flooding	leaf	HA351	d30	no
SRR7883021	PRJNA492303	flooding	leaf	HA351	d30	no
SRR7883020	PRJNA492303	flooding	leaf	HA351	d30	no
SRR7883032	PRJNA492303	flooding	root	HA351	d16	no
SRR7883033	PRJNA492303	flooding	root	HA351	d16	no
SRR7883036	PRJNA492303	flooding	root	HA351	d16	no
SRR7883037	PRJNA492303	flooding	root	HA351	d16	no
