sample_id	project_id	library_name	condition	stress	tissue	genotype	stress_type
SRR7882982	PRJNA492303	208CR3R4	control	flooding	root	RHA428	abiotic
SRR7882983	PRJNA492303	208CR3R3	control	flooding	root	RHA428	abiotic
SRR7882984	PRJNA492303	208CR3R2	control	flooding	root	RHA428	abiotic
SRR7882985	PRJNA492303	208CR3R1	control	flooding	root	RHA428	abiotic
SRR7882986	PRJNA492303	208FR1R4	flooding	flooding	root	RHA428	abiotic
SRR7882987	PRJNA492303	208FR1R3	flooding	flooding	root	RHA428	abiotic
SRR7882988	PRJNA492303	208FR1R2	flooding	flooding	root	RHA428	abiotic
SRR7882989	PRJNA492303	208FR1R1	flooding	flooding	root	RHA428	abiotic
SRR7882990	PRJNA492303	208FR2R2	flooding	flooding	root	RHA428	abiotic
SRR7882991	PRJNA492303	208FR2R1	flooding	flooding	root	RHA428	abiotic
SRR7882992	PRJNA492303	4CL1R1	control	flooding	leaf	HA351	abiotic
SRR7882993	PRJNA492303	4CL1R2	control	flooding	leaf	HA351	abiotic
SRR7882994	PRJNA492303	4CL1R3	control	flooding	leaf	HA351	abiotic
SRR7882995	PRJNA492303	4CL1R4	control	flooding	leaf	HA351	abiotic
SRR7882996	PRJNA492303	4CL2R1	control	flooding	leaf	HA351	abiotic
